country,average_temperature
Mali,28.83
Burkina Faso,28.71
Senegal,28.65
Tuvalu,28.45
Djibouti,28.38
Mauritania,28.34
Bahrain,28.23
Palau,28.04
Qatar,28.02
Gambia,27.97
Benin,27.93
Marshall Islands,27.93
Niger,27.83
Maldives,27.8
Sudan,27.74
South Sudan,27.72
Ghana,27.68
Northern Mariana Islands,27.64
United Arab Emirates,27.63
Singapore,27.6
Samoa,27.59
Seychelles,27.55
Cambodia,27.51
Kiribati,27.49
Guinea-Bissau,27.43
Saint Vincent and the Grenadines,27.42
Togo,27.38
Chad,27.37
Sri Lanka,27.28
Grenada,27.24
Nigeria,27.24
Somalia,27.09
Eritrea,26.92
Thailand,26.79
C“te d?Ivoire,26.76
Barbados,26.73
Micronesia (Federated States of),26.65
Antigua and Barbuda,26.61
Brunei Darussalam,26.56
Sierra Leone,26.54
Trinidad and Tobago,26.37
Saint Lucia,26.34
Kuwait,26.18
Guinea,26.14
Indonesia,26.14
Guyana,26.12
Suriname,26.07
Oman,26.04
Venezuela (Bolivarian Republic of),25.86
Cuba,25.83
Philippines,25.82
Malaysia,25.75
Liberia,25.69
Solomon Islands,25.61
Belize,25.59
Bangladesh,25.53
Brazil,25.51
Saudi Arabia,25.47
Panama,25.4
Gabon,25.36
Central African Republic,25.31
Nicaragua,25.29
El Salvador,25.24
Haiti,25.13
Saint Kitts and Nevis,25.11
Kenya,25.09
Papua New Guinea,25.08
Bahamas,25.06
Timor-Leste,24.99
Jamaica,24.97
Puerto Rico,24.93
Cameroon,24.87
Congo,24.85
Costa Rica,24.85
Colombia,24.79
India,24.68
Viet Nam,24.62
Tonga,24.58
Equatorial Guinea,24.54
Comoros,24.52
Democratic Republic of the Congo,24.36
Mozambique,24.33
Fiji,24.3
Dominican Republic,24.19
Vanuatu,24.03
Honduras,23.99
Lao People's Democratic Republic,23.74
Paraguay,23.73
Mauritius,23.69
Guatemala,23.67
Yemen,23.63
Myanmar,23.36
Uganda,23.34
Cabo Verde,23.23
Algeria,23.22
Sao Tome and Principe,23.2
Ethiopia,23.04
Egypt,23
United Republic of Tanzania,22.86
Madagascar,22.65
Libya,22.64
Iraq,22.58
Malawi,22.51
Dominica,22.48
Zambia,22.27
New Caledonia,22.24
Botswana,22.22
Australia,21.94
Angola,21.83
Zimbabwe,21.83
Ecuador,21.65
Mexico,21.31
Bolivia (Plurinational State of),20.95
Eswatini,20.79
Pakistan,20.75
Burundi,20.68
Namibia,20.56
Israel,20.51
Tunisia,20.34
Peru,19.7
Cyprus,19.63
Malta,19.61
Jordan,19.42
Rwanda,19.41
Syrian Arab Republic,18.58
South Africa,18.28
Morocco,18.04
Uruguay,17.93
Iran (Islamic Republic of),17.86
Turkmenistan,16.14
Lebanon,16
Portugal,15.62
Argentina,14.55
Greece,14.24
Monaco,13.95
Spain,13.93
Afghanistan,13.57
Uzbekistan,13.34
Nepal,13.21
Azerbaijan,12.93
Italy,12.81
Lesotho,12.65
Albania,12.03
Bhutan,11.98
France,11.69
Croatia,11.66
Turkey,11.66
Republic of Korea,11.4
Bulgaria,11.31
Serbia,11.28
Hungary,11.15
Japan,11.13
Belgium,10.68
Republic of Moldova,10.66
North Macedonia,10.64
Netherlands,10.4
Bosnia and Herzegovina,10.24
New Zealand,10.11
Luxembourg,10.02
Romania,9.86
Ireland,9.67
Germany,9.63
Slovenia,9.58
Ukraine,9.25
Montenegro,9.19
Andorra,9.18
England,9.07
Poland,8.85
Denmark,8.76
Czechia,8.73
Chile,8.71
Slovakia,8.34
Georgia,7.67
United States of America,7.63
Belarus,7.5
Lithuania,7.43
Austria,7.25
Armenia,7.15
China,7.1
Kazakhstan,6.91
Latvia,6.86
Liechtenstein,6.71
Faroe Islands,6.52
Estonia,6.31
Democratic People's Republic of Korea,6.19
Switzerland,6.08
Tajikistan,3.75
Sweden,2.62
Finland,2.52
Iceland,2.31
Kyrgyzstan,2.22
Norway,1.78
Mongolia,0.67
Russian Federation,-5.16
Canada,-6.36
Greenland,-17.18
